data	time(s)	temperature(C)
0	0.95	63.28
1	61	64.75
2	121.03	65.23
3	181.05	64.75
4	241.08	64.26
5	301.1	63.28
6	361.12	62.3
7	421.15	62.3
8	481.17	61.33
9	541.2	60.35
10	601.22	60.84
11	661.24	59.86
12	721.27	59.38
13	781.29	108.2
14	841.31	60.84
15	901.34	59.86
16	961.36	59.86
17	1021.38	59.38
18	1081.41	58.4
19	1141.43	57.91
20	1201.46	57.42
21	1261.48	57.42
22	1321.52	56.93
23	1381.54	55.96
24	1441.57	55.47
25	1501.59	55.47
26	1561.61	54.98
27	1621.64	54.49
